Contestant,Total score,Jury score,Israel,Poland,San Marino,Albania,Malta,Estonia,North Macedonia,Azerbaijan,Norway,Spain,Austria,United Kingdom,Italy,Slovenia,Greece,Latvia,Ireland,Moldova,Serbia,Bulgaria,Cyprus,Belgium,Germany,Australia,Finland,Portugal,Ukraine,Iceland,Romania,Croatia,Czech Republic,Georgia,Lithuania,Denmark,Russia,France,Sweden,Switzerland,Netherlands
Cyprus,94,50,,,8,2,2,,6,,,,,,,,12,,,,2,,,,,,,,,,,,,,,,12,,,,
Albania,57,22,,,,,,,10,,,,,,10,,7,,,,,,,,,,,,,,,1,,,,,,,,7,
Israel,93,73,,,,,,,,12,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,5,,,
Belgium,74,71,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,
Russia,204,104,10,2,1,,,6,1,6,,,,,7,1,1,10,,12,6,7,3,,5,,1,1,4,,,3,5,4,4,,,,,,
Malta,255,208,5,,,,,,,,3,3,2,6,,,3,,4,,,,1,2,,8,,,,3,2,,,,,2,,,2,,1
Portugal,153,126,,,,,,,,,,1,,,,,,,2,,,,,,,,,,,2,,,,,,,,8,,8,6
Serbia,102,20,,,,,4,,12,,,,12,,4,12,,,,,,5,,,3,2,,,,,,12,,,,,,3,1,12,
United Kingdom,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,170,91,,,7,8,,,,,,,,,,8,,,,7,3,2,12,,,,,2,,,,,8,12,,,,,,,10
Switzerland,432,267,6,7,3,12,,2,7,4,2,7,5,1,,5,4,4,3,4,1,3,,4,2,5,7,6,7,6,5,5,3,,6,6,5,6,5,,7
Iceland,378,198,1,8,,,5,3,,,10,5,10,10,6,3,,5,10,,5,,,5,6,12,12,3,6,,,4,7,1,3,12,1,4,10,5,8
Spain,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,115,53,,,6,7,,,,1,,,,,2,,,,,,,,,,,,2,8,,,12,,12,2,,,3,7,,,
Germany,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,301,83,4,6,4,3,7,12,2,5,6,2,4,7,8,4,6,8,5,5,7,8,4,6,8,3,,5,8,12,6,6,4,,7,7,8,1,12,4,4
Bulgaria,170,140,,,2,5,,,,,,8,,8,,,,,,,,,7,,,,,,,,,,,,,,,,,,
Lithuania,220,55,3,4,,,6,10,,,12,4,3,12,5,,,12,12,2,,,5,7,12,6,5,,10,4,3,,1,10,,4,2,,7,1,3
Ukraine,364,97,12,12,5,4,1,5,4,8,5,6,7,4,12,7,5,6,8,10,8,6,6,10,4,10,10,10,,8,7,8,10,6,12,1,7,12,4,2,5
France,499,248,8,5,10,6,3,7,5,2,4,12,6,5,1,6,8,3,7,6,10,10,8,12,10,4,6,12,5,7,8,7,2,5,8,3,6,,6,6,12
Azerbaijan,65,32,2,,,,,,3,,1,,,,,,2,,,1,4,4,,,,,,,3,,4,2,,3,,,4,,,,
Norway,75,15,,3,,,10,4,,7,,,1,2,,2,,2,,,,,,1,1,1,4,,,1,,,,,5,8,,,8,,
Netherlands,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,524,206,7,10,12,10,12,8,8,10,7,10,8,3,,10,10,7,6,8,12,12,10,8,7,7,8,7,12,5,10,10,6,8,10,5,10,10,3,10,2
Sweden,109,46,,1,,1,8,1,,,8,,,,,,,1,1,3,,1,,3,,,3,4,2,10,,,,,1,10,,2,,3,
San Marino,50,37,,,,,,,,3,,,,,3,,,,,,,,,,,,,,,,,,,7,,,,,,,
